kelime;anlam;lowercase;tokens;lemmas;stemmed
Bedirik;Çeyiz anlamında kullanılan bir söz;söz anlamında kullanılan çeyiz bir;anlamında bir kullanılan söz çeyiz;anlamında bir kullanılan söz çeyiz;anlam bir kullanılan söz çe
Bel;Toprak kazmaya yarayan ucu sivri kürek;sivri ucu yarayan kazmaya kürek toprak;kazmaya kürek sivri toprak ucu yarayan;kazmaya kürek sivri toprak ucu yarayan;kazma kürek sivr toprak uç yarayan
Belcene;Kurutulmuş incir.;incir kurutulmuş;incir kurutulmuş;incir kurutulmuş;incir kurutul
Belemek;Sarmak.;sarmak;sarmak;sarmak;sarmak
Belleme;Atların semer veya eğeri çıkarıldıktan sonra üşümemesi için sırtına bağlanan;sırtına sonra veya bağlanan çıkarıldıktan atların için semer üşümemesi eğeri;atların bağlanan eğeri semer sonra sırtına çıkarıldıktan üşümemesi;atların bağlanan eğeri semer sonra sırtına çıkarıldıktan üşümemesi;atlar bağlanan eğer semer sonr sırt çıkarıldık üşümeme
Bellemek;Öğrenmek,  Toprağı kazmak.;öğrenmek toprağı kazmak;kazmak toprağı öğrenmek;kazmak toprağı öğrenmek;kazmak toprak öğrenmek
Berk;Çok sıkı, fazla..;fazla sıkı çok;fazla sıkı;fazla sıkı;fazl sık
Beşirikli;Elinden iyi iş gelen, eline çabuk.;elinden eline gelen iş iyi çabuk;elinden eline gelen iyi iş çabuk;elinden eline gelen iyi iş çabuk;elin gelen iyi iş çabuk
Beleş;Bedava.;bedava;bedava;bedava;bedav
Bıldır;Geçen sene;geçen sene;geçen sene;geçen sene;geçen sen
Bibi;Hala.;hala;hala;hala;hal
Bider;Tohumluk;tohumluk;tohumluk;tohumluk;tohumluk
Birti;Biraz;biraz;biraz;biraz;biraz
Bişet;Bir şey;şey bir;bir;bir;bir
