kelime;lemmatization
De hele;başla bakayım
Değilcikden;mahsustan
Değne;bak
Dellenme;delilenme
Demlik;sürekli dönmemek üzere
Depik;tekme
Depki;tarhana aşı karıştırmaya yarayan aygıt
Deşirmek;toplamak
Devlisigün;bir sonraki gün
Devrede;devirde
Devrikisinde;ötekisinde
Dezze;teyze
Dıkıl;gir
Dıkılmak;girmek
Dıkız;fazla taşkın
Dırgıl dırgıl;yarık yarık
Dibek;büyük taş
Digrak;sıkı
Dikeç;çitler kullanılan ağaç kazıklar bahçenin ağılı bir yük dikeç gerek
Dil;anahtar
Dilbaz;güzel konuşan
Dillemek;kilitlemek
Dinei;dur
Diniyele;dinle hele
Dipili düşmek;aniden ortaya çıkmak
Dirgen;ekin sapını patosa atmaya yarayan alet
Dirizelinç Etmek;çekiştirmek
Dombalak;takla
Donuktu;durdu
Dombalak;takla
Don kazanı;büyük bakır kazan
Don yumak;çamaşır yıkamak deri perşembe günü anam yuyacak
Don;külot
Döğme;pilav maraş tarhanası aşure yapımında kullanılan değlipte dövülmüş
Döl;oğul
Duak;duvak
Dud;dut
Dulad;rüzgarın ulaşmadığı yer
Duluk;bir şeyin yan tarafı binaların yan tarafı insan yanakları
Dunukuyor;dökülüyor
Dutmaç;bir yemek türü hamurdan yapılır
Düneklik;kümes
Dürcü;dünürcü
Düşek;tarla payı
Düve;doğurmamış dişi sığır
Düvecek;sarımsak döven tokmak
E;i̇yi
Ebelik;ot
Ebire;adam
Ede;erkek kardeş abi
Eğrelti;meşe ağacı
Ehliyel;aile bireylerinin toplamı
Ehliz;ehil
Ehmet;ahmet
Ekseri;genellikle
Elbir;elçi işbirlikçi
Elefetsiz;manasız
Eletmek;ulaştırmak
Ellehem;herhalde
Ellengeç;yengeç
Ellik;ekin biçerken parmaklara takılan tahta koruyucular
Elllehem;herhalde
Emenmek;utanmak
Emilik;yeni doğmuş keçi yavrusu bizim iki emiliğimiz oldu
Emmi;amca
Encik;köpek yavrusu
Enis;aşağı doğru meyilli
Eniş;rampa
Erlik Gavırı;ermeni
Eses;esans
Esga;ateşli odun
Essah mı;sahi mi
Eşep;eşarp
Eşgere;apaçık
Et keseri;başka yerlerde satır adlandırılan et kesmede kullanılan alet
Evlek;tarlaya hat çekilmesi
Evseme;savurarak eleme işi
Evsin;bir yerde bekleyerek avların buluduğu yere gelmesini isteyen avcıların içinde
Fak;tuzak
Fakı;hoca
Fallik;yaramaz ahlaksız
Fanilye;kazak
Farsak;kirli
Fas;i̇çi boş
Fasari;boş iş
Fedik;haşlanmış buğday
Fel fel;tir tir
Felan;tarlanın tohum ekilmeden önce sürülmesi
Fıldırmak;fırlatmak
Fırıştak;topaç
Filtik Filtik;parça parça
Firez;kurumuş ekin kökü
Firik;olgunlaşmamış olan
Fistan;kadın elbisesi
Fol;tavuğun altına konan yumurta
Gabir;kabir
Gaçamak;mısır unundan yapılan bir tür yemek
Gada;sıkınta tasa
Gallep;güvercin
Gallep;güvercin çocuklar gallep avına gitti
Galli;sincap
Gallin;pipo
Galtak;kötü yaramaz kadın
Gamga;ağaç kabuğu
Gampık;ağaç kabuğu
Gancık;dişi köpek
Gapgacak;mutfak eşyası
Gapıt;pardüsü
Gaplık;raf
Garaa;ağacın dalını eğmeye yarayan çatal
Garaböcük;domuz
Garangaz;yaşlı ağaç
Garanışmak;havanın kararması
Garı;yaşlı
Gasbalık;kapı
Gasıl;hayvanlara yeşil ot olarak yedirmek ekilen arpanın başak çıkarmamış
Gasıl;otundan yararlanmak ekilmiş arpa
Gaspalık;bahçe kapısı
Gaşşak;sık
Gavut;yalan
Gaygana;tavada sahanda yumurta yemek yoktu misafirlere gaygana yaptım
Gazzık;kazık
Geçek;yol
Geçgele;tahtadan yapılmış üzerinde yük taşımaya yarayan aygıt
Geliç;ot
Gem;atları kontrol yularla birlikte ağzına takılan madeni parça
Gem;döven harman sürme aleti
Gem;hayvanların ağzına vurulur ekin sapını ezıp tanelerini ayıran altıkeskin
Gıcır gıcır;yeni
Gıcırtı;kapı sesi
Gıç;ayak
Gıçıırık;kıçıkırık
Gıgırmak;ötmek
Gır;sarıya yakın renk
Gırat;ölçü kabı
Gırklık;keçi koyun yüyü kesmeye yarayan makas
Gısırak;kısrak
Gıska;ekilecek soğan
Gısmık;cimri
Gıtgırtı;tırtıl
Gıv etmek;takip etmek
Gıvrışık;kıvırcık
Gıyık;büyük iğne çuvaldız
Gıyık;çuvaldızın büyüğü
Gıyırgan;küçük ağaç parçası kıymık
Gızılbacak;bir bitki
Gızınmak;isınmak
Gicişmek;kaşınmak
Gocabaş;şeker pancarının patetes kısmı
Gocunmak;alınmak
Goddik;ukala ufak
Golan;kıldan yapılmıış halat
Goncolos;canavar ayının büyüğü gulyabaninin küçüğü
Gonursu;yanmış kıl tozu
Gook;ağaç oyuğu
Gopmak;koşmak
Goruverişin;bırakıverince
Goz;ceviz
Gozan;kozan
Gö;yeşil
Gö;yetmemiş
Göbelek;mantar
Göde;şişman
Gökgüdü;bir serçe türü
Gölük;kötü cins
Gön;deri
Görümce;kocanın kız kardeşi
Grat;i̇ki çelik ölçeğe bir grat denir
Gubarmak;hava atmak
Gubarmak;hindi horoz kuşların tüylerini kabartarak kasılması
Gulunç;kürek kemiği
Gunduz;kedigillerden bir kedi
Gungulu gook;bir böcek
Gunnacı;yavrulayacak hayvan
Gunnamak;kedi köpeğin yavru
Gurk;kuluçkaya yatmış tavuk
Gurmut;bir ahlat türü
Gusana;altı yedi litrelik ağzı yayvan bakır kalaylı su süt kabı
Guzluk;küçük baş hayvan ahırı
Güccük;küçük
Gümbür;yayık
Günden yazı;günden tarafı
Gürben;kutlama
Gürgene;bir ağaç
Haası;hangisi
Habban;kuş tutmak yapılan tuzak
Haçan;çabuk
Hakına;oğlakla keçi arası dişi keçi i̇ki hakınamız var seneye süt veriler
Hakına;doğurmamış keçi
Halbır;kalbur kasnağa takılı deri liflerinden yapılmış eleme kabı
Halva;helva
Ham;olgunlaşmamış
Hamıt;atın boynuna takılır
Hamlamak;yorulmak
Hamut;atların pulluk gem çekmesinde boynuna takılan
Hamzan;çiriş otunun kökünün tozundan yapılan hamurdan elde edilen teryağı
Haral;büyük çuval
Hardalatsız;biçimsiz
Hareni;orta kazan
Harnıp;bir ağaç türü
Harnıp;keçi boynızu
Hartlap;bitki
Hasan ka;hasan kâhya
Hatça;hatice
Hayıf;i̇ntikam
Hayma;gölgelik amacıyla ağaçtan sundurmalar onun üzerine atılan dallardan
Helik;küçük taş parçası
Helke;su kabı ovum
Heral;herhalde
Herif;bey
Heril;i̇pek
Hetif;üzümün döküntüsü
